"cisp","mes","ano","mes_ano","aisp","risp","munic","mcirc","regiao","hom_doloso","lesao_corp_morte","latrocinio","cvli","hom_por_interv_policial","feminicidio","letalidade_violenta","tentat_hom","tentativa_feminicidio","lesao_corp_dolosa","estupro","hom_culposo","lesao_corp_culposa","roubo_transeunte","roubo_celular","roubo_em_coletivo","roubo_rua","roubo_veiculo","roubo_carga","roubo_comercio","roubo_residencia","roubo_banco","roubo_cx_eletronico","roubo_conducao_saque","roubo_apos_saque","roubo_bicicleta","outros_roubos","total_roubos","furto_veiculos","furto_transeunte","furto_coletivo","furto_celular","furto_bicicleta","outros_furtos","total_furtos","sequestro","extorsao","sequestro_relampago","estelionato","apreensao_drogas","posse_drogas","trafico_drogas","apreensao_drogas_sem_autor","recuperacao_veiculos","apf","aaapai","cmp","cmba","ameaca","pessoas_desaparecidas","encontro_cadaver","encontro_ossada","pol_militares_mortos_serv","pol_civis_mortos_serv","registro_ocorrencias","fase"
"59","1","2023","2023m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","6","0","0","6","4","","10","3","","102","11","3","34","153","69","32","254","99","46","2","4","0","0","1","12","1","35","454","62","53","7","31","2","181","336","0","0","0","174","6","2","4","0","111","39","2","8","0","88","21","1","0","0","0","1670","3"
"60","1","2023","2023m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","0","5","4","","9","8","","58","10","6","24","35","17","18","70","63","23","2","0","0","0","0","0","0","21","179","20","1","1","4","0","31","57","0","3","0","87","11","1","10","0","27","25","2","14","0","55","10","0","0","0","0","670","3"
"61","1","2023","2023m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","0","0","0","0","0","","0","0","","29","2","0","5","6","4","1","11","5","4","0","0","0","0","0","0","0","2","22","3","2","0","1","1","15","22","0","0","0","23","0","0","0","0","1","9","0","2","0","25","0","0","0","0","0","174","3"
"62","1","2023","2023m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","0","5","2","","7","1","","64","7","1","13","33","14","16","63","23","3","2","2","0","0","0","1","0","4","98","8","3","2","4","0","27","44","0","5","0","103","5","0","5","0","14","15","0","1","0","49","7","0","0","0","0","479","3"
"59","2","2023","2023m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","4","0","0","4","3","","7","2","","121","4","4","34","125","39","18","182","115","53","4","1","0","0","0","3","0","25","383","73","43","9","29","0","152","306","0","2","0","150","7","0","7","0","81","64","3","9","1","98","20","1","0","0","0","1540","3"
"60","2","2023","2023m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","8","0","0","8","5","","13","8","","73","3","4","16","24","5","9","38","52","32","2","1","0","0","0","0","0","7","132","22","5","0","1","1","14","43","0","1","0","52","9","0","9","0","18","25","6","20","1","60","7","0","0","0","0","553","3"
"61","2","2023","2023m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","3","0","0","3","0","","3","1","","25","1","0","2","2","2","1","5","5","3","0","0","0","0","0","0","0","2","15","3","0","0","4","1","9","17","0","0","0","21","0","0","0","0","0","2","0","1","0","21","1","0","0","0","0","124","3"
"62","2","2023","2023m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","1","","2","4","","64","4","0","5","23","8","6","37","17","6","1","1","0","0","0","0","0","10","72","9","1","1","6","2","21","40","0","2","0","64","7","0","7","0","9","12","0","2","0","48","10","0","0","0","0","392","3"
"59","3","2023","2023m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","0","5","2","","7","2","","127","8","8","43","148","48","54","250","186","59","3","1","0","0","0","10","0","54","563","76","38","7","23","0","183","327","0","4","1","141","5","2","3","0","143","60","0","8","0","100","21","0","0","0","0","1872","3"
"60","3","2023","2023m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","24","1","1","26","7","","33","3","","78","11","3","14","32","15","13","60","90","48","0","1","0","0","0","0","0","16","215","22","0","0","5","0","42","69","0","1","0","56","12","1","11","0","33","41","4","13","1","70","10","0","0","0","0","725","3"
"61","3","2023","2023m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","","1","3","","32","5","0","3","2","1","1","4","5","1","0","1","0","0","0","0","0","3","14","4","3","1","2","1","20","31","0","0","0","22","1","1","0","0","3","7","0","3","0","27","0","0","0","0","0","178","3"
"62","3","2023","2023m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","3","0","0","3","1","","4","11","","43","3","0","17","26","20","3","49","31","9","1","1","0","0","0","0","0","10","101","12","5","3","5","1","32","58","0","0","0","98","9","0","9","0","23","26","2","5","0","55","6","0","0","0","0","486","3"
"59","4","2023","2023m04","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","1","6","3","","9","8","","96","9","0","39","118","50","42","210","141","46","7","0","0","0","2","5","0","45","456","78","41","5","25","0","170","319","0","1","0","143","8","1","7","0","151","50","4","12","4","82","16","0","0","0","0","1641","3"
"60","4","2023","2023m04","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","0","5","13","","18","3","","68","4","6","10","15","19","8","42","102","53","1","3","0","0","0","1","0","10","212","28","1","0","5","0","25","59","0","1","0","44","10","0","9","1","31","30","4","13","1","54","6","0","0","0","0","644","3"
"61","4","2023","2023m04","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","0","","2","0","","24","0","0","3","1","0","0","1","10","4","1","0","0","0","0","0","0","0","16","5","3","0","2","1","9","20","0","0","0","28","1","1","0","0","1","4","1","0","0","20","4","0","0","0","0","160","3"
"62","4","2023","2023m04","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","0","","2","2","","34","3","0","9","27","16","5","48","39","9","0","2","0","0","0","0","0","9","107","11","2","0","7","2","25","47","0","1","0","65","6","0","5","1","8","11","1","1","1","40","5","0","0","0","0","396","3"
"59","5","2023","2023m05","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","0","5","3","","8","17","","76","1","3","40","143","42","35","220","183","31","8","0","0","1","0","3","0","60","506","71","38","11","31","2","178","331","0","1","0","121","15","3","12","0","181","96","7","12","1","84","10","0","0","0","0","1737","3"
"60","5","2023","2023m05","15","3","Duque de Caxias","3301702","Baixada Fluminense","10","0","0","10","4","","14","5","","61","4","4","25","35","18","4","57","112","54","2","1","0","0","0","0","1","21","248","34","2","1","5","2","27","71","0","1","1","57","13","1","11","1","50","43","8","29","0","36","6","0","0","0","0","736","3"
"61","5","2023","2023m05","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","","1","3","","22","1","3","14","1","3","0","4","8","3","0","0","0","0","0","0","1","1","17","2","1","0","2","2","8","15","0","1","0","38","1","1","0","0","1","8","0","2","0","18","4","1","0","0","0","183","3"
"62","5","2023","2023m05","15","3","Duque de Caxias","3301702","Baixada Fluminense","0","0","0","0","0","","0","1","","49","3","1","18","29","10","2","41","51","23","2","1","0","0","0","0","0","12","130","10","3","0","14","2","33","62","0","2","0","79","7","0","6","1","9","23","2","9","0","42","5","0","0","0","0","518","3"
"59","6","2023","2023m06","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","7","","9","5","","79","7","3","41","134","57","25","216","128","22","6","1","0","0","1","3","1","48","426","52","41","9","31","1","178","312","0","2","0","139","11","2","9","0","152","63","3","19","0","85","6","0","0","0","0","1593","3"
"60","6","2023","2023m06","15","3","Duque de Caxias","3301702","Baixada Fluminense","12","0","0","12","5","","17","11","","65","10","7","28","28","11","13","52","78","41","3","2","0","0","0","0","0","15","191","19","0","0","2","1","27","49","0","1","0","55","6","1","5","0","21","35","5","18","1","34","5","0","0","2","0","620","3"
"61","6","2023","2023m06","15","3","Duque de Caxias","3301702","Baixada Fluminense","0","0","0","0","0","","0","0","","25","0","3","11","3","7","0","10","5","0","0","0","0","0","0","0","0","0","15","5","2","0","4","1","17","29","0","1","0","26","1","1","0","0","1","15","0","1","0","19","4","0","0","0","0","166","3"
"62","6","2023","2023m06","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","2","","4","2","","50","6","1","18","27","13","8","48","40","5","2","1","0","0","0","2","1","4","103","7","0","1","4","2","15","29","0","1","0","71","1","1","0","0","5","17","0","3","0","37","4","0","0","0","0","384","3"
"59","7","2023","2023m07","15","3","Duque de Caxias","3301702","Baixada Fluminense","4","0","0","4","5","","9","4","","104","10","4","47","115","55","39","209","71","12","4","1","0","0","1","4","0","35","337","36","47","16","37","2","220","358","0","3","0","137","5","2","2","1","69","50","1","3","0","89","11","1","0","0","0","1486","3"
"60","7","2023","2023m07","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","0","5","10","","15","8","","56","6","4","26","27","14","8","49","68","9","1","1","0","0","0","0","1","15","144","12","0","1","2","1","19","35","0","2","0","48","8","1","7","0","20","32","1","11","0","35","9","0","0","0","0","529","3"
"61","7","2023","2023m07","15","3","Duque de Caxias","3301702","Baixada Fluminense","0","0","0","0","0","","0","1","","16","2","2","11","3","6","0","9","2","2","2","1","0","0","0","1","0","2","19","3","2","0","3","1","11","20","0","1","0","25","1","1","0","0","4","5","0","2","0","18","5","0","0","0","0","156","3"
"62","7","2023","2023m07","15","3","Duque de Caxias","3301702","Baixada Fluminense","3","0","0","3","0","","3","1","","44","14","1","18","38","3","8","49","14","6","5","2","0","0","0","0","0","10","86","20","4","0","6","2","33","65","0","3","0","75","6","1","5","0","7","12","2","4","0","35","5","2","0","0","0","431","3"
"59","8","2023","2023m08","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","0","5","4","","9","7","","89","13","2","57","143","39","57","239","86","10","2","5","0","0","0","6","0","46","394","32","33","9","21","1","207","303","0","0","0","140","4","0","4","0","92","75","3","9","1","87","15","0","0","0","0","1509","3"
"60","8","2023","2023m08","15","3","Duque de Caxias","3301702","Baixada Fluminense","15","0","0","15","3","","18","5","","56","6","2","16","27","20","13","60","70","21","3","1","0","0","0","0","0","17","172","25","1","1","5","0","28","60","0","5","0","46","2","1","1","0","16","27","0","31","0","54","13","0","0","0","0","639","3"
"61","8","2023","2023m08","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","","1","2","","13","1","0","6","2","3","1","6","2","0","0","0","0","0","0","0","0","0","8","2","1","1","2","2","17","25","0","1","0","32","0","0","0","0","3","6","0","2","0","18","4","0","0","0","0","157","3"
"62","8","2023","2023m08","15","3","Duque de Caxias","3301702","Baixada Fluminense","4","0","0","4","0","","4","1","","56","7","1","23","28","19","11","58","28","7","1","1","0","0","0","0","0","9","104","21","2","2","4","1","25","55","0","1","0","62","7","1","6","0","9","20","2","2","0","35","10","0","0","0","0","458","3"
"59","9","2023","2023m09","15","3","Duque de Caxias","3301702","Baixada Fluminense","3","0","0","3","0","","3","5","","111","10","4","84","120","46","61","227","87","14","2","1","0","0","1","1","0","40","373","44","36","12","32","1","206","331","0","3","2","137","10","2","8","0","85","53","4","4","0","93","22","2","0","1","0","1518","3"
"60","9","2023","2023m09","15","3","Duque de Caxias","3301702","Baixada Fluminense","10","0","0","10","1","","11","11","","72","10","7","24","15","13","14","42","81","22","2","2","0","0","0","0","0","16","165","22","2","1","4","1","26","56","0","2","0","40","5","1","4","0","8","30","4","22","3","47","9","0","0","0","0","600","3"
"61","9","2023","2023m09","15","3","Duque de Caxias","3301702","Baixada Fluminense","4","0","0","4","0","","4","3","","24","3","0","4","7","2","0","9","4","4","2","0","0","0","0","0","0","3","22","1","0","1","4","4","6","16","0","2","0","26","1","1","0","0","3","8","0","1","0","20","3","1","0","0","0","168","3"
